date_time,temperature,x_axix,y_axix,z_axix,year,month,week,day,hour,minute
2021-10-09 10:38:32,95.23,5.35,-1.26,-8.01,2021,10,40,9,10,38
2021-10-09 10:38:34,96.13,5.37,-1.44,-7.61,2021,10,40,9,10,38
2021-10-09 10:38:36,95.13,6.11,-1.91,-7.12,2021,10,40,9,10,38
2021-10-09 10:38:38,95.67,5.94,-1.28,-7.02,2021,10,40,9,10,38
2021-10-09 10:38:40,95.7,5.88,-1.65,-7.34,2021,10,40,9,10,38
2021-10-09 10:38:42,95.13,5.89,-1.6,-7.09,2021,10,40,9,10,38
2021-10-09 10:38:44,95.85,6.0,-1.82,-7.22,2021,10,40,9,10,38
2021-10-09 10:38:46,95.95,6.12,-1.8,-7.28,2021,10,40,9,10,38
2021-10-09 10:38:48,95.27,5.86,-1.93,-7.15,2021,10,40,9,10,38
2021-10-09 10:38:50,95.27,6.01,-2.01,-7.11,2021,10,40,9,10,38
2021-10-09 10:38:52,95.09,5.85,-2.04,-6.86,2021,10,40,9,10,38
2021-10-09 10:38:54,95.09,5.91,-2.02,-7.28,2021,10,40,9,10,38
2021-10-09 10:38:56,96.06,5.86,-1.98,-7.18,2021,10,40,9,10,38
2021-10-09 10:38:58,95.85,5.87,-2.0,-7.1,2021,10,40,9,10,38
2021-10-09 10:39:00,95.95,6.09,-2.03,-7.2,2021,10,40,9,10,39
2021-10-09 10:39:02,95.99,5.56,-0.81,-7.6,2021,10,40,9,10,39
2021-10-09 10:39:04,95.81,5.81,-0.81,-7.44,2021,10,40,9,10,39
2021-10-09 10:39:06,95.7,5.52,-1.34,-7.22,2021,10,40,9,10,39
2021-10-09 10:39:08,96.1,5.25,-1.7,-7.52,2021,10,40,9,10,39
2021-10-09 10:39:11,94.48,6.35,-1.0,-7.69,2021,10,40,9,10,39
2021-10-09 10:39:15,95.56,6.9,-1.55,-6.89,2021,10,40,9,10,39
2021-10-09 10:39:17,96.06,7.51,-1.42,-6.52,2021,10,40,9,10,39
2021-10-09 10:39:19,94.66,5.72,-1.56,-5.71,2021,10,40,9,10,39
2021-10-09 10:39:21,94.3,5.7,-1.66,-7.38,2021,10,40,9,10,39
2021-10-09 10:39:23,94.59,6.79,-1.57,-7.41,2021,10,40,9,10,39
2021-10-09 10:39:25,94.41,6.41,-1.56,-6.62,2021,10,40,9,10,39
2021-10-09 10:39:27,94.95,6.06,-1.5,-6.76,2021,10,40,9,10,39
2021-10-09 10:39:29,95.49,7.22,-1.51,-7.2,2021,10,40,9,10,39
2021-10-09 10:39:31,95.99,7.06,-0.89,-5.98,2021,10,40,9,10,39
2021-10-09 10:39:33,96.1,6.54,-1.02,-6.29,2021,10,40,9,10,39
2021-10-09 10:39:35,95.7,6.77,-0.59,-6.68,2021,10,40,9,10,39
2021-10-09 10:39:37,95.38,6.72,-0.45,-7.65,2021,10,40,9,10,39
2021-10-09 10:39:39,96.46,6.77,-0.75,-6.69,2021,10,40,9,10,39
2021-10-09 10:39:41,96.21,5.47,-0.98,-6.65,2021,10,40,9,10,39
2021-10-09 10:39:43,95.09,5.75,-1.19,-7.61,2021,10,40,9,10,39
2021-10-09 10:39:45,94.12,5.17,-1.01,-7.48,2021,10,40,9,10,39
2021-10-09 10:39:47,93.9,5.69,-1.31,-8.52,2021,10,40,9,10,39
2021-10-09 10:39:49,94.44,5.44,-1.12,-7.56,2021,10,40,9,10,39
2021-10-09 10:39:52,94.66,5.33,-1.23,-7.7,2021,10,40,9,10,39
2021-10-09 10:39:55,95.81,5.5,-1.32,-7.8,2021,10,40,9,10,39
2021-10-09 10:39:57,96.28,5.46,-1.18,-7.66,2021,10,40,9,10,39
2021-10-09 10:39:59,96.28,5.43,-1.09,-7.61,2021,10,40,9,10,39
2021-10-09 10:40:01,96.24,5.64,-1.02,-7.59,2021,10,40,9,10,40
2021-10-09 10:40:03,96.82,5.23,-1.08,-7.45,2021,10,40,9,10,40
2021-10-09 10:40:05,96.75,5.65,-0.26,-7.91,2021,10,40,9,10,40
2021-10-09 10:40:07,96.93,6.61,-1.2,-7.49,2021,10,40,9,10,40
2021-10-09 10:40:11,96.67,7.25,-1.29,-6.72,2021,10,40,9,10,40
2021-10-09 10:40:13,96.28,7.2,-1.45,-5.84,2021,10,40,9,10,40
2021-10-09 10:40:20,96.24,5.54,-1.43,-7.23,2021,10,40,9,10,40
2021-10-09 10:40:20,96.64,5.45,-1.01,-7.62,2021,10,40,9,10,40
2021-10-09 10:40:20,95.95,6.0,-1.4,-6.11,2021,10,40,9,10,40
2021-10-09 10:40:21,96.64,5.25,-1.15,-7.74,2021,10,40,9,10,40
2021-10-09 10:40:23,96.46,5.43,-1.1,-8.04,2021,10,40,9,10,40
2021-10-09 10:40:25,96.96,5.45,-0.95,-7.85,2021,10,40,9,10,40
2021-10-09 10:40:29,97.21,5.57,-1.01,-7.64,2021,10,40,9,10,40
2021-10-09 10:40:32,96.93,5.35,-1.11,-7.69,2021,10,40,9,10,40
2021-10-09 10:40:34,97.07,5.69,-1.2,-7.79,2021,10,40,9,10,40
2021-10-09 10:40:36,96.96,6.14,-1.1,-7.69,2021,10,40,9,10,40
2021-10-09 10:40:38,97.07,6.97,-0.66,-7.0,2021,10,40,9,10,40
2021-10-09 10:40:40,96.75,6.9,-0.73,-6.63,2021,10,40,9,10,40
2021-10-09 10:40:41,96.64,6.89,-0.77,-6.51,2021,10,40,9,10,40
2021-10-09 10:40:43,96.67,6.97,-0.84,-6.46,2021,10,40,9,10,40
2021-10-09 10:40:45,96.67,6.95,-0.7,-6.41,2021,10,40,9,10,40
2021-10-09 10:40:47,96.75,6.91,-0.85,-6.48,2021,10,40,9,10,40
2021-10-09 10:40:49,96.46,6.95,-0.83,-6.35,2021,10,40,9,10,40
2021-10-09 10:40:54,96.75,6.67,-0.79,-6.29,2021,10,40,9,10,40
2021-10-09 10:40:55,96.82,5.84,-0.95,-6.64,2021,10,40,9,10,40
2021-10-09 10:40:57,96.75,5.79,-0.75,-7.33,2021,10,40,9,10,40
2021-10-09 10:40:59,96.89,5.62,-1.01,-7.39,2021,10,40,9,10,40
2021-10-09 10:41:02,97.21,5.75,-1.12,-7.49,2021,10,40,9,10,41
2021-10-09 10:41:04,97.25,5.92,-1.12,-7.44,2021,10,40,9,10,41
2021-10-09 10:41:06,97.25,5.37,-1.04,-7.35,2021,10,40,9,10,41
2021-10-09 10:41:07,97.36,5.51,-1.27,-7.7,2021,10,40,9,10,41
2021-10-09 10:41:09,97.39,5.54,-1.39,-7.6,2021,10,40,9,10,41
2021-10-09 10:41:11,97.21,5.59,-1.26,-7.59,2021,10,40,9,10,41
2021-10-09 10:41:13,96.67,6.21,-1.41,-7.52,2021,10,40,9,10,41
2021-10-09 10:41:15,97.39,6.8,-1.39,-7.13,2021,10,40,9,10,41
2021-10-09 10:41:17,95.99,6.68,-1.31,-6.51,2021,10,40,9,10,41
2021-10-09 10:41:19,96.64,6.56,-1.42,-6.6,2021,10,40,9,10,41
2021-10-09 10:41:20,97.03,6.31,-1.29,-6.68,2021,10,40,9,10,41
2021-10-09 10:41:22,96.78,6.41,-1.19,-7.06,2021,10,40,9,10,41
2021-10-09 10:41:24,97.21,6.22,-1.13,-6.9,2021,10,40,9,10,41
2021-10-09 10:41:26,97.18,6.65,-1.24,-6.99,2021,10,40,9,10,41
2021-10-09 10:41:28,97.25,6.74,-1.1,-6.83,2021,10,40,9,10,41
2021-10-09 10:41:31,97.36,6.61,-1.16,-6.66,2021,10,40,9,10,41
2021-10-09 10:41:35,97.11,6.15,-1.1,-6.54,2021,10,40,9,10,41
2021-10-09 10:41:37,97.21,5.86,-0.77,-7.42,2021,10,40,9,10,41
2021-10-09 10:41:39,96.82,5.8,-0.93,-7.47,2021,10,40,9,10,41
2021-10-09 10:41:41,96.96,5.85,-0.95,-7.44,2021,10,40,9,10,41
2021-10-09 10:41:43,97.32,6.53,-0.94,-7.29,2021,10,40,9,10,41
2021-10-09 10:41:45,97.21,6.84,-0.95,-6.83,2021,10,40,9,10,41
2021-10-09 10:41:47,97.25,7.45,-0.86,-6.34,2021,10,40,9,10,41
2021-10-09 10:42:02,96.75,7.08,-0.63,-5.57,2021,10,40,9,10,42
2021-10-09 10:42:04,96.75,7.81,-1.16,-6.06,2021,10,40,9,10,42
2021-10-09 10:42:08,96.46,7.29,0.01,-5.42,2021,10,40,9,10,42
2021-10-09 10:42:10,95.52,7.02,0.7,-6.07,2021,10,40,9,10,42
2021-10-09 10:42:13,96.64,7.77,0.16,-6.45,2021,10,40,9,10,42
2021-10-09 10:42:15,96.24,7.63,-0.14,-5.41,2021,10,40,9,10,42
2021-10-09 10:42:16,96.78,7.68,-0.25,-5.44,2021,10,40,9,10,42
2021-10-09 10:42:18,96.93,7.55,-0.08,-5.73,2021,10,40,9,10,42
2021-10-09 10:42:20,96.28,7.44,-0.22,-5.66,2021,10,40,9,10,42
2021-10-09 10:42:22,95.92,7.59,-0.17,-5.81,2021,10,40,9,10,42
2021-10-09 10:42:24,95.95,7.47,-0.38,-5.61,2021,10,40,9,10,42
2021-10-09 10:42:26,96.1,7.38,-0.32,-5.73,2021,10,40,9,10,42
2021-10-09 10:42:28,96.39,7.72,-0.15,-5.75,2021,10,40,9,10,42
2021-10-09 10:42:30,96.13,7.62,-0.39,-5.53,2021,10,40,9,10,42
2021-10-09 10:42:32,96.49,7.58,-0.28,-5.68,2021,10,40,9,10,42
2021-10-09 10:42:34,96.24,7.61,-0.3,-5.69,2021,10,40,9,10,42
2021-10-09 10:42:36,96.46,7.51,-0.39,-5.55,2021,10,40,9,10,42
2021-10-09 10:42:38,96.06,7.54,-0.14,-5.82,2021,10,40,9,10,42
2021-10-09 10:42:40,96.06,7.42,-0.17,-5.73,2021,10,40,9,10,42
2021-10-09 10:42:42,96.1,7.59,-0.27,-5.81,2021,10,40,9,10,42
2021-10-09 10:42:46,95.81,7.5,-0.17,-5.66,2021,10,40,9,10,42
2021-10-09 10:42:48,94.87,7.34,-0.25,-5.76,2021,10,40,9,10,42
2021-10-09 10:42:50,96.1,7.33,-0.43,-5.88,2021,10,40,9,10,42
2021-10-09 10:42:52,96.06,7.44,-0.13,-5.98,2021,10,40,9,10,42
2021-10-09 10:42:53,96.21,7.47,-0.4,-5.93,2021,10,40,9,10,42
2021-10-09 10:42:55,96.39,7.34,-0.34,-5.8,2021,10,40,9,10,42
2021-10-09 10:42:57,95.67,7.36,-0.23,-6.03,2021,10,40,9,10,42
2021-10-09 10:42:59,96.13,7.38,-0.3,-6.03,2021,10,40,9,10,42
2021-10-09 10:43:01,96.24,7.61,-0.49,-5.25,2021,10,40,9,10,43
2021-10-09 10:43:03,96.35,7.57,-0.45,-5.64,2021,10,40,9,10,43
2021-10-09 10:43:05,96.49,7.61,-0.34,-5.73,2021,10,40,9,10,43
2021-10-09 10:43:07,96.53,7.47,-0.43,-5.7,2021,10,40,9,10,43
2021-10-09 10:43:09,96.89,7.28,-0.33,-5.74,2021,10,40,9,10,43
2021-10-09 10:43:11,96.46,7.26,-0.37,-6.0,2021,10,40,9,10,43
