date,time,temperature,x_axix,y_axix,z_axix,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
10/09/2021,10:38:32 AM,95.23,5.35,-1.26,-8.01,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:34 AM,96.13,5.37,-1.44,-7.61,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:36 AM,95.13,6.11,-1.91,-7.12,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:38 AM,95.67,5.94,-1.28,-7.02,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:40 AM,95.7,5.88,-1.65,-7.34,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:42 AM,95.13,5.89,-1.6,-7.09,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:44 AM,95.85,6.0,-1.82,-7.22,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:46 AM,95.95,6.12,-1.8,-7.28,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:48 AM,95.27,5.86,-1.93,-7.15,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:50 AM,95.27,6.01,-2.01,-7.11,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:52 AM,95.09,5.85,-2.04,-6.86,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:54 AM,95.09,5.91,-2.02,-7.28,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:56 AM,96.06,5.86,-1.98,-7.18,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:38:58 AM,95.85,5.87,-2.0,-7.1,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:00 AM,95.95,6.09,-2.03,-7.2,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:02 AM,95.99,5.56,-0.81,-7.6,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:04 AM,95.81,5.81,-0.81,-7.44,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:06 AM,95.7,5.52,-1.34,-7.22,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:08 AM,96.1,5.25,-1.7,-7.52,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:11 AM,94.48,6.35,-1.0,-7.69,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:15 AM,95.56,6.9,-1.55,-6.89,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:17 AM,96.06,7.51,-1.42,-6.52,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:19 AM,94.66,5.72,-1.56,-5.71,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:21 AM,94.3,5.7,-1.66,-7.38,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:23 AM,94.59,6.79,-1.57,-7.41,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:25 AM,94.41,6.41,-1.56,-6.62,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:27 AM,94.95,6.06,-1.5,-6.76,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:29 AM,95.49,7.22,-1.51,-7.2,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:31 AM,95.99,7.06,-0.89,-5.98,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:33 AM,96.1,6.54,-1.02,-6.29,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:35 AM,95.7,6.77,-0.59,-6.68,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:37 AM,95.38,6.72,-0.45,-7.65,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:39:39 AM,96.46,6.77,-0.75,-6.69,,,,,,,,,,,,,,,,,,,,,
