month,week,day,hour,avg_temp,avg_x,avg_y,avg_z
10,40,9,10,95.49,5.81,-0.14,-7.37
10,40,9,11,95.09,6.38,-1.43,-6.72
10,40,9,12,95.95,-5.31,-1.02,-7.965
10,40,9,13,96.64,-6.61,0.02,-6.81
10,40,9,14,96.96,-5.84,-1.91,-7.5
10,41,14,11,95.09,6.32,-0.86,-6.71
10,41,14,12,96.8,4.12,-1.96,-7.15
10,41,14,13,100.09,-6.09,0.72,-7.17
10,41,14,14,101.28,-6.18,0.68,-7.25
10,41,14,15,101.625,-6.42,0.14,-7.19
10,41,15,11,93.79,1.2650000000000001,-0.945,-8.665
10,41,15,12,100.17,-6.12,5.21,-5.58
10,41,15,13,104.13,-6.43,3.9,-5.835
10,41,16,10,93.72,-5.84,-2.22,-6.82
10,41,16,11,94.84,-5.455,-1.77,-6.38
10,41,16,12,99.05,-5.56,-0.28,-7.43
10,41,16,13,96.93,-6.79,0.71,-6.85
10,41,16,14,96.93,-6.74,0.28,-6.89
